Frame,ID,Object,X,Y
0,0,Tracked Player,0.58863926,0.69311625
1,0,Tracked Player,0.58863884,0.6931382
2,0,Tracked Player,0.5886339,0.6930393
3,0,Tracked Player,0.5882009,0.6926854
4,0,Tracked Player,0.587264,0.6931309
5,0,Tracked Player,0.5873333,0.6929859
6,0,Tracked Player,0.5873451,0.69297
7,0,Tracked Player,0.58619815,0.6944328
8,0,Tracked Player,0.58616424,0.6943658
9,0,Tracked Player,0.5850561,0.6961585
10,0,Tracked Player,0.58504933,0.6961429
11,0,Tracked Player,0.5852381,0.69504535
12,0,Tracked Player,0.5847634,0.69542867
13,0,Tracked Player,0.5847095,0.6955163
14,0,Tracked Player,0.5842753,0.69441366
15,0,Tracked Player,0.5840289,0.69468033
16,0,Tracked Player,0.5823562,0.6959101
17,0,Tracked Player,0.58233476,0.6958896
18,0,Tracked Player,0.5823979,0.6957928
19,0,Tracked Player,0.58166,0.6971181
20,0,Tracked Player,0.5816358,0.6971191
21,0,Tracked Player,0.581729,0.6978892
22,0,Tracked Player,0.5816289,0.69796365
23,0,Tracked Player,0.58131915,0.69843274
24,0,Tracked Player,0.5814018,0.6983862
25,0,Tracked Player,0.5815146,0.6983413
26,0,Tracked Player,0.5815039,0.69833624
27,0,Tracked Player,0.5808414,0.6993069
28,0,Tracked Player,0.5807751,0.6994223
29,0,Tracked Player,0.580247,0.70059085
30,0,Tracked Player,0.5803849,0.70061386
31,0,Tracked Player,0.58034617,0.7009917
32,0,Tracked Player,0.58057773,0.7010841
33,0,Tracked Player,0.57956403,0.70197517
34,0,Tracked Player,0.57953185,0.7019539
35,0,Tracked Player,0.58005804,0.7019288
36,0,Tracked Player,0.579909,0.701936
37,0,Tracked Player,0.5799426,0.7016851
38,0,Tracked Player,0.5803941,0.7014775
39,0,Tracked Player,0.58038926,0.7015748
40,0,Tracked Player,0.5809142,0.7003242
41,0,Tracked Player,0.58086103,0.7003732
42,0,Tracked Player,0.58086663,0.7003537
43,0,Tracked Player,0.57988083,0.699637
44,0,Tracked Player,0.57978517,0.6996828
45,0,Tracked Player,0.5805922,0.6986849
46,0,Tracked Player,0.5806412,0.6987321
47,0,Tracked Player,0.5807396,0.6985937
48,0,Tracked Player,0.58073455,0.6985235
49,0,Tracked Player,0.5806598,0.6984307
50,0,Tracked Player,0.58339536,0.69743603
51,0,Tracked Player,0.583336,0.6974174
52,0,Tracked Player,0.58043426,0.6965173
53,0,Tracked Player,0.58046454,0.6965217
54,0,Tracked Player,0.58044,0.69651264
55,0,Tracked Player,0.5849555,0.6922152
56,0,Tracked Player,0.58512574,0.69215345
57,0,Tracked Player,0.58533067,0.6746626
58,0,Tracked Player,0.58549255,0.67460555
59,0,Tracked Player,0.58050245,0.67236805
60,0,Tracked Player,0.5806499,0.67046076
61,0,Tracked Player,0.58080125,0.67087793
62,0,Tracked Player,0.5971317,0.7026082
63,0,Tracked Player,0.59707963,0.7028718
67,0,Tracked Player,0.5862274,0.66811264
68,0,Tracked Player,0.58625376,0.6683362
72,0,Tracked Player,0.58856136,0.65357363
73,0,Tracked Player,0.590074,0.6584803
74,0,Tracked Player,0.5904955,0.67132425
75,0,Tracked Player,0.59049666,0.670547
76,0,Tracked Player,0.58842736,0.66994065
77,0,Tracked Player,0.58848363,0.6692965
78,0,Tracked Player,0.5884932,0.669457
79,0,Tracked Player,0.58928716,0.6650979
80,0,Tracked Player,0.5892002,0.66490006
81,0,Tracked Player,0.58923733,0.6659105
82,0,Tracked Player,0.5888512,0.64621156
83,0,Tracked Player,0.5893734,0.63545036
84,0,Tracked Player,0.589299,0.63558894
85,0,Tracked Player,0.58936054,0.6349786
86,0,Tracked Player,0.5894619,0.6335022
87,0,Tracked Player,0.589456,0.63380826
88,0,Tracked Player,0.5894886,0.6332757
89,0,Tracked Player,0.58948827,0.6331144
90,0,Tracked Player,0.5895568,0.63342273
91,0,Tracked Player,0.5888532,0.6638677
92,0,Tracked Player,0.58888173,0.66276544
93,0,Tracked Player,0.58886933,0.66314584
94,0,Tracked Player,0.5884368,0.6670521
95,0,Tracked Player,0.58850574,0.6664836
96,0,Tracked Player,0.5868363,0.65510505
97,0,Tracked Player,0.5868258,0.6550884
98,0,Tracked Player,0.5868454,0.65536624
99,0,Tracked Player,0.57161605,0.629758
100,0,Tracked Player,0.57155764,0.62834495
101,0,Tracked Player,0.5813391,0.65408903
102,0,Tracked Player,0.58131117,0.6526874
103,0,Tracked Player,0.5813623,0.6532822
104,0,Tracked Player,0.580537,0.6537661
105,0,Tracked Player,0.58056796,0.6539506
